Batch Name,Total Tickets,Total Help Tickets,Help - Open,Help - Resolved,Help - Reopened,Help - Closed,Total Support Tickets,Support - Open,Support - Resolved,Support - Reopened,Support - Closed,Number of Users in Batch,Number of Active Users in Batch,Unique Users - Help,Unique Users - Support,Unique Users - Both Help & Support
BITSoM-BA-2507,202,13,0,13,0,0,189,0,160,1,28,888,844,10,114,2
BITSoM-BA-2512,107,6,0,5,1,0,101,1,92,0,8,793,778,6,75,1
BITSoM-BA-2603,20,0,0,0,0,0,20,0,20,0,0,121,47,0,11,0
BITSoM-DM-2510,56,2,0,2,0,0,54,0,54,0,0,184,183,2,39,1
BITSoM-FTAI-2601,81,8,0,8,0,0,73,0,69,1,3,210,208,6,49,1
BITSoM-PM-2507,415,9,0,9,0,0,406,0,357,0,49,1145,1114,8,251,3
BITSoM-PM-2511,353,3,0,3,0,0,350,0,318,0,32,1244,1203,3,221,1
BITSoM-PM-2601,469,19,1,18,0,0,450,0,427,1,22,849,830,12,285,8
BITSoM-PM-2606,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0
FITT-EN-2604,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
IIMM-DM-2602,7,0,0,0,0,0,7,0,7,0,0,406,184,0,5,0
IIMM-EN-2508,6,0,0,0,0,0,6,0,6,0,0,374,369,0,6,0
IIMMDM-2503,17,2,1,1,0,0,15,2,10,0,3,831,392,2,14,0
IIMMDM-2505,12,2,1,1,0,0,10,0,7,0,3,395,391,2,9,0
IIMRC-BA-2604,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0
IIMRC-DM-2605,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
IIMROH-DMAI-2603,12,0,0,0,0,0,12,0,10,0,2,63,36,0,10,0
IIMROH-PMGM-2603,14,0,0,0,0,0,14,0,13,0,1,158,61,0,13,0
IIMS-DM-2507,3,0,0,0,0,0,3,0,3,0,0,94,94,0,2,0
IIMSDM-2505,7,0,0,0,0,0,7,0,7,0,0,219,124,0,6,0
IIMSI-DM-2507,22,1,0,1,0,0,21,0,16,0,5,208,205,1,15,0
IIMSI-DM-2511,34,0,0,0,0,0,34,0,31,0,3,104,101,0,22,0
IIMSI-DM-2605,1,0,0,0,0,0,1,0,1,0,0,3,0,0,1,0
IIMSI-EDGE-2511,56,3,0,3,0,0,53,0,51,0,2,148,146,3,26,1
IIMT-DM-2508,4,0,0,0,0,0,4,0,4,0,0,201,100,0,4,0
IIMT-DM-2509,4,0,0,0,0,0,4,0,4,0,0,201,99,0,4,0
IIMT-DM-2511,10,2,0,2,0,0,8,0,7,0,1,56,56,2,5,2
IIMT-FTAI-2602,1,0,0,0,0,0,1,0,1,0,0,43,5,0,1,0
IIMT-PM-2509,6,0,0,0,0,0,6,0,6,0,0,51,50,0,4,0
IIMT-PM-2601,6,0,0,0,0,0,6,0,6,0,0,49,49,0,4,0
IIT-FDN-2411,51,0,0,0,0,0,51,0,45,0,6,628,0,0,33,0
IIT-FDN-2412,120,6,0,6,0,0,114,2,98,0,14,1510,0,6,79,2
IIT-FDN-CSEH-2501,1,0,0,0,0,0,1,0,0,0,1,39,0,0,1,0
IIT-IIM,98,4,0,4,0,0,94,1,79,1,13,2121,0,4,73,0
IIT-IIM Foundation,89,1,0,1,0,0,88,0,88,0,0,323,0,1,64,0
IITG-AIML-2503,117,3,0,3,0,0,114,0,97,0,17,1109,1053,3,78,2
IITG-DC-2502,2,0,0,0,0,0,2,0,2,0,0,38,36,0,1,0
IITGCS-2406,6,1,0,1,0,0,5,0,4,1,0,735,211,1,4,0
IITGCS-2409,0,0,0,0,0,0,0,0,0,0,0,233,68,0,0,0
IITGDS-2501,82,1,0,1,0,0,81,0,73,0,8,1039,464,1,63,1
IITGDS-250120,94,1,0,1,0,0,93,0,80,0,13,1656,1146,1,75,0
IITGDS-2505,16,0,0,0,0,0,16,0,14,0,2,402,330,0,13,0
IITH-AIML-2507,152,10,0,10,0,0,142,0,136,0,6,1034,822,9,97,3
IITH-AIML-2510,30,1,0,1,0,0,29,0,25,0,4,314,0,1,20,1
IITMandi-AI-2504,7,0,0,0,0,0,7,1,6,0,0,361,228,0,6,0
IITMandi-BA-2504,5,0,0,0,0,0,5,3,2,0,0,161,81,0,4,0
IITMandi-CSE-2504,2,0,0,0,0,0,2,0,2,0,0,70,46,0,1,0
IITMandi-DSML-2504,0,0,0,0,0,0,0,0,0,0,0,133,96,0,0,0
IITMD-BA-2502,16,0,0,0,0,0,16,0,9,0,7,162,160,0,13,0
IITMD-CYB-2502,2,1,0,0,0,1,1,0,0,0,1,59,58,1,1,0
IITMD-DSAI-2508,76,1,0,0,0,1,75,0,69,0,6,639,526,1,57,0
IITMD-DSAI-2512,3,0,0,0,0,0,3,0,3,0,0,26,0,0,3,0
IITMDCSE-2410,13,0,0,0,0,0,13,0,12,0,1,2084,603,0,12,0
IITMDCSE-2501,43,0,0,0,0,0,43,0,39,0,4,380,180,0,25,0
IITMDCSE-2504,13,0,0,0,0,0,13,0,12,0,1,264,226,0,11,0
IITMDDSAI-2505,64,0,0,0,0,0,64,0,53,0,11,561,443,0,46,0
IITMDES-2503,1,0,0,0,0,0,1,0,1,0,0,19,18,0,1,0
IITMDML-2408,6,0,0,0,0,0,6,0,6,0,0,481,174,0,2,0
IITMDML-2409,4,0,0,0,0,0,4,1,2,0,1,261,79,0,3,0
IITP-AIE-2511,2,0,0,0,0,0,2,0,2,0,0,17,0,0,2,0
IITP-AIML-2506,66,4,0,4,0,0,62,0,56,0,6,530,517,3,33,2
IITP-AIML-2510,40,1,0,1,0,0,39,0,37,0,2,437,398,1,25,0
IITP-AIML-2601,131,1,0,1,0,0,130,0,121,0,9,520,491,1,86,1
IITP-AIML-2601B,104,1,0,1,0,0,103,0,97,0,6,342,0,1,68,1
IITP-AIML-2604,59,1,0,1,0,0,58,0,55,0,3,414,163,1,42,0
IITP-AIMLH-2602,118,2,0,2,0,0,116,0,109,0,7,275,272,2,60,1
