Batch Name,Category,Total Tickets,Open,Reopened,Total Open + Reopened
BITSoM-BA-2507,product-support,76,0,7,7
BITSoM-BA-2507,program-related-query,83,0,5,5
BITSoM-BA-2507,placement-readiness,1,0,0,0
BITSoM-BA-2507,learning-support,22,0,0,0
BITSoM-BA-2507,missed-evaluation,1,0,0,0
BITSoM-BA-2507,campusConnect,2,0,0,0
BITSoM-BA-2507,counselling-support,1,0,0,0
BITSoM-BA-2507,missed-offline-evaluation,1,0,0,0
BITSoM-BA-2507,pre-requisite-sessions,1,0,0,0
BITSoM-BA-2512,product-support,43,2,4,6
BITSoM-BA-2512,program-related-query,17,1,3,4
BITSoM-BA-2512,attendance-query,9,0,0,0
BITSoM-BA-2512,learning-support,14,0,0,0
BITSoM-BA-2603,pre-requisite-sessions,3,0,0,0
BITSoM-BA-2603,program-fee,1,0,0,0
BITSoM-BA-2603,program-related-query,4,1,0,1
BITSoM-BA-2603,learning-support,1,0,0,0
BITSoM-BA-2603,student-kit,2,0,1,1
BITSoM-BA-2603,product-support,5,0,0,0
BITSoM-DM-2510,program-related-query,13,0,0,0
BITSoM-DM-2510,attendance-query,10,6,0,6
BITSoM-DM-2510,learning-support,6,0,0,0
BITSoM-DM-2510,product-support,21,0,0,0
BITSoM-DM-2510,evaluation,19,0,2,2
BITSoM-FTAI-2601,product-support,15,2,1,3
BITSoM-FTAI-2601,evaluation,10,0,2,2
BITSoM-FTAI-2601,attendance-query,22,1,0,1
BITSoM-FTAI-2601,program-related-query,19,1,1,2
BITSoM-FTAI-2601,learning-support,21,0,0,0
BITSoM-FTAI-2601,student-kit,4,1,0,1
BITSoM-PM-2507,attendance-query,16,1,1,2
BITSoM-PM-2507,program-related-query,131,4,2,6
BITSoM-PM-2507,product-support,35,0,0,0
BITSoM-PM-2507,learning-support,23,0,1,1
BITSoM-PM-2507,evaluation,52,2,2,4
BITSoM-PM-2507,missed-evaluation,1,0,0,0
BITSoM-PM-2507,student-kit,4,0,1,1
BITSoM-PM-2507,missed-offline-evaluation,3,0,0,0
BITSoM-PM-2507,program-fee,1,0,0,0
BITSoM-PM-2507,campusConnect,1,0,0,0
BITSoM-PM-2511,learning-support,22,0,0,0
BITSoM-PM-2511,product-support,23,0,0,0
BITSoM-PM-2511,program-related-query,18,0,0,0
BITSoM-PM-2511,evaluation-score,1,0,0,0
BITSoM-PM-2511,evaluation,24,0,1,1
BITSoM-PM-2511,attendance-query,20,0,0,0
BITSoM-PM-2601,program-related-query,61,1,4,5
BITSoM-PM-2601,evaluation,66,1,2,3
BITSoM-PM-2601,learning-support,58,0,2,2
BITSoM-PM-2601,attendance-query,116,1,6,7
BITSoM-PM-2601,product-support,74,2,3,5
BITSoM-PM-2601,student-kit,32,4,4,8
BITSoM-PM-2601,missed-evaluation,1,0,0,0
BITSoM-PM-2601,support,1,1,0,1
BITSoM-PM-2601,evaluation-score,1,0,0,0
BITSoM-PM-2606,student-kit,1,0,0,0
BITSoM-PM-2606,program-related-query,1,0,0,0
IIMM-DM-2602,program-related-query,30,0,0,0
IIMM-DM-2602,pre-requisite-sessions,18,0,0,0
IIMM-EN-2508,fallback-no-poc-mapped,1,1,0,1
IIMMDM-2503,fallback-no-poc-mapped,23,8,0,8
IIMMDM-2503,support,1,1,0,1
IIMMDM-2505,fallback-no-poc-mapped,23,8,0,8
IIMMDM-2505,support,1,1,0,1
IIMRC-BA-2604,learning-support,1,0,0,0
IIMROH-DMAI-2603,learning-support,1,0,0,0
IIMROH-DMAI-2603,studentKit,1,0,0,0
IIMROH-DMAI-2603,product-support,3,0,0,0
IIMROH-DMAI-2603,student-kit,7,0,0,0
IIMROH-DMAI-2603,attendance-query,2,0,1,1
