Batch Name,Total Tickets,Total Help Tickets,% Help Tickets,% Support Tickets,Help - Open,Help - Resolved,Help - Reopened,Help - Closed,Total Support Tickets,Support - Open,Support - Resolved,Support - Reopened,Support - Closed,Number of Users in Batch,Number of Active Users in Batch,Unique Users - Help,Unique Users - Support,Unique Users - Both Help & Support
BITSoM-BA-2507,188,167,88.83%,11.17%,0,155,12,0,21,0,19,0,2,888,844,107,15,6
BITSoM-BA-2512,83,83,100.00%,0.00%,3,73,7,0,0,0,0,0,0,793,778,67,0,0
BITSoM-BA-2603,16,15,93.75%,6.25%,1,13,1,0,1,0,1,0,0,119,45,11,1,0
BITSoM-DM-2510,69,67,97.10%,2.90%,6,59,2,0,2,0,1,0,1,184,183,39,2,1
BITSoM-FTAI-2601,91,89,97.80%,2.20%,5,80,4,0,2,0,2,0,0,210,208,52,2,1
BITSoM-PM-2507,267,249,93.26%,6.74%,8,235,6,0,18,0,15,0,3,1145,1114,166,15,4
BITSoM-PM-2511,108,106,98.15%,1.85%,0,105,1,0,2,0,2,0,0,1244,1203,84,2,0
BITSoM-PM-2601,410,402,98.05%,1.95%,10,371,21,0,8,0,8,0,0,849,830,233,7,5
BITSoM-PM-2606,2,2,100.00%,0.00%,0,2,0,0,0,0,0,0,0,82,0,2,0,0
FITT-EN-2604,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,2,0,0,0,0
IIMM-DM-2602,48,45,93.75%,6.25%,0,45,0,0,3,0,3,0,0,406,184,36,1,1
IIMM-EN-2508,1,1,100.00%,0.00%,1,0,0,0,0,0,0,0,0,374,369,1,0,0
IIMMDM-2503,24,24,100.00%,0.00%,9,15,0,0,0,0,0,0,0,831,392,22,0,0
IIMMDM-2505,24,24,100.00%,0.00%,9,15,0,0,0,0,0,0,0,395,391,22,0,0
IIMRC-BA-2604,1,1,100.00%,0.00%,0,1,0,0,0,0,0,0,0,79,0,1,0,0
IIMRC-DM-2605,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,2,2,0,0,0
IIMROH-DMAI-2603,20,18,90.00%,10.00%,0,17,1,0,2,0,2,0,0,63,36,13,1,1
IIMROH-PMGM-2603,29,28,96.55%,3.45%,3,24,1,0,1,0,1,0,0,158,61,24,1,1
IIMS-DM-2507,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,94,94,0,0,0
